index,drugbank_id
1472,DB01692
1473,DB01694
1474,DB01695
1475,DB01697
1476,DB01698
1477,DB01699
1478,DB01700
1479,DB01701
1480,DB01702
1481,DB01703
1482,DB01704
1483,DB01705
1484,DB01706
1485,DB01707
1486,DB01708
1487,DB01709
1488,DB01710
1489,DB01711
1490,DB01712
1491,DB01713
1492,DB01714
1493,DB01715
1494,DB01716
1495,DB01717
1496,DB01718
1497,DB01719
1498,DB01720
1499,DB01721
1500,DB01723
1501,DB01724
1502,DB01725
1503,DB01726
1504,DB01727
1505,DB01728
1506,DB01729
1507,DB01731
1508,DB01732
1509,DB01733
1510,DB01734
1511,DB01735
1512,DB01736
1513,DB01737
1514,DB01738
1515,DB01739
1516,DB01740
1517,DB01741
1518,DB01742
1519,DB01744
1520,DB01745
1521,DB01746
1522,DB01747
1523,DB01748
1524,DB01749
1525,DB01750
1526,DB01751
1527,DB01752
1528,DB01753
1529,DB01754
1530,DB01755
1531,DB01756
1532,DB01758
1533,DB01759
1534,DB01760
1535,DB01761
1536,DB01762
1537,DB01763
1538,DB01764
1539,DB01765
1540,DB01766
1541,DB01767
1542,DB01768
1543,DB01771
1544,DB01772
1545,DB01773
1546,DB01774
1547,DB01775
1548,DB01776
1549,DB01777
1550,DB01778
1551,DB01779
1552,DB01780
1553,DB01782
1554,DB01783
1555,DB01784
1556,DB01785
1557,DB01786
1558,DB01788
1559,DB01789
1560,DB01790
1561,DB01791
1562,DB01792
1563,DB01793
1564,DB01794
1565,DB01795
1566,DB01796
1567,DB01797
1568,DB01798
1569,DB01799
1570,DB01800
1571,DB01802
1572,DB01803
1573,DB01804
1574,DB01805
1575,DB01806
1576,DB01807
1577,DB01808
1578,DB01809
1579,DB01810
1580,DB01811
1581,DB01812
1582,DB01813
1583,DB01814
1584,DB01815
1585,DB01816
1586,DB01817
1587,DB01818
1588,DB01819
1589,DB01820
1590,DB01821
1591,DB01822
1592,DB01823
1593,DB01824
1594,DB01825
1595,DB01826
1596,DB01827
1597,DB01828
1598,DB01829
1599,DB01830
1600,DB01831
1601,DB01832
1602,DB01833
1603,DB01834
1604,DB01835
1605,DB01836
1606,DB01837
1607,DB01838
1608,DB01839
1609,DB01840
1610,DB01841
1611,DB01842
1612,DB01843
1613,DB01844
1614,DB01846
1615,DB01847
